Ref,Val,Package,PosX,PosY,Rot,Side
"BAT1","BH-18650-B5BA016","BAT-SMD_BH-18650-B5BA016",47.500000,-23.000000,0.000000,top
"C1","1nF","C_0603_1608Metric",35.000000,-58.000000,90.000000,top
"C2","1nF","C_0603_1608Metric",41.000000,-58.000000,90.000000,top
"C3","1nF","C_0603_1608Metric",53.000000,-58.000000,90.000000,top
"C4","1nF","C_0603_1608Metric",59.000000,-58.000000,90.000000,top
"C5","1uF","C_0805_2012Metric",5.000000,-65.000000,90.000000,top
"C6","1uF","C_0805_2012Metric",9.000000,-65.000000,90.000000,top
"C7","100nF","C_0603_1608Metric",5.000000,-70.000000,90.000000,top
"C8","10uF","C_0805_2012Metric",9.000000,-70.000000,90.000000,top
"C9","100nF","C_0603_1608Metric",25.000000,-80.000000,90.000000,top
"C10","10uF","C_0805_2012Metric",32.000000,-80.000000,90.000000,top
"C11","100nF","C_0603_1608Metric",36.000000,-80.000000,90.000000,top
"C12","100nF","C_0603_1608Metric",41.000000,-65.000000,90.000000,top
"C13","1uF","C_0805_2012Metric",32.000000,-65.000000,90.000000,top
"C14","100nF","C_0603_1608Metric",51.000000,-65.000000,90.000000,top
"C15","10uF","C_0805_2012Metric",55.000000,-80.000000,90.000000,top
"C16","100nF","C_0603_1608Metric",51.000000,-80.000000,90.000000,top
"C17","100nF","C_0603_1608Metric",60.000000,-55.000000,90.000000,top
"C20","1nF","C_0603_1608Metric",70.000000,-60.000000,90.000000,top
"C21","10nF","C_0603_1608Metric",66.000000,-60.000000,90.000000,top
"C22","10nF","C_0603_1608Metric",74.000000,-60.000000,90.000000,top
"C23","100nF","C_0603_1608Metric",62.000000,-75.000000,90.000000,top
"C24","100nF","C_0603_1608Metric",62.000000,-80.000000,90.000000,top
"C25","1uF","C_0805_2012Metric",62.000000,-85.000000,90.000000,top
"C26","100nF","C_0603_1608Metric",70.000000,-90.000000,90.000000,top
"C27","10uF","C_0805_2012Metric",65.000000,-90.000000,90.000000,top
"C28","100nF","C_0603_1608Metric",84.000000,-92.000000,90.000000,top
"C29","22uF","C_1206_3216Metric",73.000000,-95.000000,0.000000,top
"C30","100nF","C_0603_1608Metric",76.000000,-95.000000,90.000000,top
"C31","47pF","C_0603_1608Metric",84.000000,-60.000000,90.000000,top
"D1","GREEN","LED_0805_2012Metric",60.000000,-50.000000,0.000000,top
"D2","BLUE","LED_0805_2012Metric",88.000000,-95.000000,0.000000,top
"J1","USB_C_PD","USB_C_Receptacle_HRO_TYPE-C-31-M-12",88.000000,-55.000000,-90.000000,top
"J2","OUTPUT","PinHeader_1x02_P2.54mm_Vertical",47.000000,-103.000000,0.000000,top
"J3","I2C_BREAKOUT","PinHeader_1x04_P2.54mm_Vertical",17.000000,-103.000000,0.000000,top
"L1","6.8uH","IND-SMD_L7.0-W6.6",38.000000,-70.000000,0.000000,top
"L2","10uH","IND-SMD_L7.1-W6.6",65.000000,-80.000000,0.000000,top
"Q1","DUAL_N_FET","SOIC-8_3.9x4.9mm_P1.27mm",17.000000,-80.000000,90.000000,top
"Q2","DUAL_N_FET","SOIC-8_3.9x4.9mm_P1.27mm",55.000000,-70.000000,90.000000,top
"Q3","DUAL_N_FET","SOIC-8_3.9x4.9mm_P1.27mm",88.000000,-75.000000,90.000000,top
"Q4","DUAL_N_FET","SOIC-8_3.9x4.9mm_P1.27mm",88.000000,-85.000000,90.000000,top
"R1","100","R_0603_1608Metric",35.000000,-53.000000,90.000000,top
"R2","100","R_0603_1608Metric",41.000000,-53.000000,90.000000,top
"R3","100","R_0603_1608Metric",53.000000,-53.000000,90.000000,top
"R4","100","R_0603_1608Metric",59.000000,-53.000000,90.000000,top
"R5","0.005","R_1206_3216Metric",12.000000,-80.000000,90.000000,top
"R6","10k","R_0603_1608Metric",5.000000,-55.000000,90.000000,top
"R7","10k","R_0603_1608Metric",9.000000,-55.000000,90.000000,top
"R8","10k","R_0603_1608Metric",13.000000,-55.000000,90.000000,top
"R9","10k","R_0603_1608Metric",21.000000,-55.000000,90.000000,top
"R10","0.01","R_1206_3216Metric",43.000000,-75.000000,90.000000,top
